index,start_period_ns,edg_read_ns,command_ns,wait_ns,wake_lateness_ns,cycle_work_ns
312,8000291,0,27871,7972632,56204,28028
313,8000808,0,21768,7976763,57012,21926
314,7998837,0,24065,7975975,55849,24232
315,8000346,0,22981,7976467,56195,23139
316,8001384,0,22871,7975354,57579,23037
317,7998521,0,27861,7973004,56100,28037
318,8001189,0,23408,7974818,57289,23565
319,7998522,0,27093,7972772,55811,27268
320,8000189,0,24148,7974318,56000,24305
321,7998762,0,22138,7978319,54762,22305
322,8000772,0,25482,7974457,55534,25648
323,8000253,0,24000,7976883,55787,24158
324,8001208,0,31537,7969123,56995,31741
325,8001030,0,30639,7975133,58025,30843
